DrawingNumber,Style,"Frame Type","Frame Material","Glass Thickness",NoOfPanes,"Platform Thickness",Download
DH102_TF4,Double Hung,Flat Jamb Timber,Timber,8mm,2,49mm,DH102_TF4.pdf
DH102_TF5,Double Hung,Flat Jamb Timber,Timber,5mm,2,42mm,DH102_TF5.pdf
DH102_TF6,Double Hung,Flat Jamb Timber,Timber,5mm,2,44mm,DH102_TF6.pdf
DH102_TF7,Double Hung,Flat Jamb Timber,Timber,6mm,2,44mm,DH102_TF7.pdf
DH102_TF8,Double Hung,Flat Jamb Timber,Timber,8mm,2,49mm,DH102_TF8.pdf
DH102_TFC1,Double Hung,Flat Jamb Timber,Timber,5mm,2,68mm,DH102_TFC1.pdf
DH102_TFC2,Double Hung,Flat Jamb Timber,Timber,5mm,2,70mm,DH102_TFC2.pdf
DH102_TFC3,Double Hung,Flat Jamb Timber,Timber,6mm,2,70mm,DH102_TFC3.pdf
DH102_TFC4,Double Hung,Flat Jamb Timber,Timber,8mm,2,75mm,DH102_TFC4.pdf
DH102_TFC5,Double Hung,Flat Jamb Timber,Timber,5mm,2,86mm,DH102_TFC5.pdf
DH102_TFC6,Double Hung,Flat Jamb Timber,Timber,5mm,2,88mm,DH102_TFC6.pdf
DH102_TFC7,Double Hung,Flat Jamb Timber,Timber,6mm,2,88mm,DH102_TFC7.pdf
DH102_TFC8,Double Hung,Flat Jamb Timber,Timber,8mm,2,93mm,DH102_TFC8.pdf
DH102_TFC9,Double Hung,Flat Jamb Timber,Timber,5mm,2,68mm,DH102_TFC9.pdf
DH102_TFC10,Double Hung,Flat Jamb Timber,Timber,5mm,2,70mm,DH102_TFC10.pdf
DH102_TFC11,Double Hung,Flat Jamb Timber,Timber,6mm,2,70mm,DH102_TFC11.pdf
DH102_TFC12,Double Hung,Flat Jamb Timber,Timber,8mm,2,75mm,DH102_TFC12.pdf
DH102_TFC13,Double Hung,Flat Jamb Timber,Timber,5mm,2,86mm,DH102_TFC13.pdf
DH102_TFC14,Double Hung,Flat Jamb Timber,Timber,5mm,2,88mm,DH102_TFC14.pdf
DH102_TFC15,Double Hung,Flat Jamb Timber,Timber,6mm,2,88mm,DH102_TFC15.pdf
DH102_TFC16,Double Hung,Flat Jamb Timber,Timber,8mm,2,93mm,DH102_TFC16.pdf
DH102_CA1,Double Hung,APL Metro awning frame,Aluminium,8mm,2,50mm,DH102_CA1.pdf
DH102_CA2,Double Hung,APL Metro awning frame,Aluminium,10mm,2,50mm,DH102_CA2.pdf
DH102_CA3,Double Hung,APL 106 Architectural Casement,Aluminium,8mm,2,50mm,DH102_CA3.pdf
DH102_CA4,Double Hung,APL 106 Architectural Casement,Aluminium,10mm,2,50mm,DH102_CA4.pdf
DH102_CA5,Double Hung,100mm Shop front,Aluminium,8mm,2,53mm,DH102_CA5.pdf
DH102_CA6,Double Hung,100mm Shop front,Aluminium,10mm,2,53mm,DH102_CA6.pdf
DH102_CA7,Double Hung,APL 106 Architectural Casement,Aluminium,8mm,2,53mm,DH102_CA7.pdf
DH102_CA8,Double Hung,APL 106 Architectural Casement,Aluminium,10mm,2,53mm,DH102_CA8.pdf
DH102_CA9,Double Hung,APL 106 Architectural Casement,Aluminium,8mm,2,78mm,DH102_CA9.pdf
DH102_CA10,Double Hung,APL 106 Architectural Casement,Aluminium,10mm,2,78mm,DH102_CA10.pdf
DH102_CA11,Double Hung,APL 106 Architectural Casement,Aluminium,8mm,2,103mm,DH102_CA11.pdf
DH102_CA12,Double Hung,APL 106 Architectural Casement,Aluminium,10mm,2,103mm,DH102_CA12.pdf
DH108_CA2,Double Hung,APL 106 Architectural Casement,Aluminium,10mm,4,103mm,DH108_CA2.pdf
SH101_RA1,Single Hung,APL Metro awning frame,Aluminium,5mm,2,42mm,SH101_RA1.pdf
SH101_RA2,Single Hung,APL Metro awning frame,Aluminium,6mm,2,42mm,SH101_RA2.pdf
SH101_RA3,Single Hung,APL Metro awning frame,Aluminium,8mm,2,50mm,SH101_RA3.pdf
SH101_RA4,Single Hung,APL 80mm Shop front,Aluminium,6mm,2,45mm,SH101_RA4.pdf
SH101_RA5,Single Hung,APL 100mm Shop front,Aluminium,6mm,2,45mm,SH101_RA5.pdf
SH101_RA6,Single Hung,APL 106 Architectural Casement,Aluminium,6mm,2,42mm,SH101_RA6.pdf
SH101_RA7,Single Hung,APL 80mm Shop front,Aluminium,8mm,2,53mm,SH101_RA7.pdf
SH101_RA8,Single Hung,APL 100mm Shop front,Aluminium,8mm,2,53mm,SH101_RA8.pdf
SH101_RA9,Single Hung,APL 106 Architectural Casement,Aluminium,8mm,2,50mm,SH101_RA9.pdf
SH101_RT1,Single Hung,Sidelight/Fixed Sash,Timber,5mm,2,44mm,SH101_RT1.pdf
SH101_RT2,Single Hung,Sidelight/Fixed Sash,Timber,6mm,2,44mm,SH101_RT2.pdf
SH101_RT3,Single Hung,Sidelight/Fixed Sash,Timber,6mm,2,52mm,SH101_RT3.pdf
SH101_RT4,Single Hung,Sidelight/Fixed Sash,Timber,8mm,2,52mm,SH101_RT4.pdf
SH101_RT5,Single Hung,Sidelight/Fixed Sash,Timber,8mm,2,63mm,SH101_RT5.pdf
SH101_TF1,Single Hung,Sidelight/Fixed Sash,Timber,5mm,2,44mm,SH101_TF1.pdf
SH101_TF2,Single Hung,Sidelight/Fixed Sash,Timber,6mm,2,44mm,SH101_TF2.pdf
SH101_TF3,Single Hung,Sidelight/Fixed Sash,Timber,6mm,2,44mm,SH101_TF3.pdf
SH101_TF4,Single Hung,Sidelight/Fixed Sash,Timber,8mm,2,52mm,SH101_TF4.pdf
SH101_TF5,Single Hung,Sidelight/Fixed Sash,Timber,8mm,2,63mm,SH101_TF5.pdf
SH101_TFC1,Single Hung,Flat Jamb Timber,Timber,5mm,2,70mm,SH101_TFC1.pdf
SH101_TFC2,Single Hung,Flat Jamb Timber,Timber,6mm,2,70mm,SH101_TFC2.pdf
SH101_TFC3,Single Hung,Flat Jamb Timber,Timber,6mm,2,78mm,SH101_TFC3.pdf
SH101_TFC4,Single Hung,Flat Jamb Timber,Timber,8mm,2,78mm,SH101_TFC4.pdf
